,Musicas,Acordes
0,wave,Dm7
1,wave,G/D
2,wave,Dm7
3,wave,G/D
4,wave,Dm7
5,wave,G/D
6,wave,Dm7
7,wave,G/D
8,wave,D6/F#
9,wave,Gº
10,wave,Am7(11)
11,wave,D7(9-)
12,wave,G7M
13,wave,Gm6
14,wave,F#7(13)
15,wave,F#7(13-)
16,wave,F#m7
17,wave,B7(9-)
18,wave,E7(9)
19,wave,Bb7(9)
20,wave,A7(13-)
21,wave,Dm7
22,wave,G/D
23,wave,Dm7
24,wave,G/D
25,wave,D6/F#
26,wave,Gº
27,wave,Am7(11)
28,wave,D7(9-)
29,wave,G7M
30,wave,Gm6
31,wave,F#7(13)
32,wave,F#7(13-)
33,wave,F#m7
34,wave,B7(9-)
35,wave,E7(9)
36,wave,Bb7(9)
37,wave,A7(13-)
38,wave,Dm7
39,wave,G/D
40,wave,Dm7
41,wave,G/D
42,wave,Gm7
43,wave,C/Bb
44,wave,Am7
45,wave,Fm7
46,wave,Bb/Ab
47,wave,Gm/A
48,wave,A7(13-)
49,wave,D6/F#
50,wave,Gº
51,wave,Am7(11)
52,wave,D7(9-)
53,wave,G7M
54,wave,Gm6
55,wave,F#7(13)
56,wave,F#7(13-)
57,wave,F#m7
58,wave,B7(9-)
59,wave,E7(9)
60,wave,Bb7(9)
61,wave,A7(13-)
62,wave,Dm7
63,wave,G/D
64,wave,Dm7
65,wave,G/D
66,wave,Dm7
67,wave,G/D
68,wave,Dm7
69,wave,G/D
283,chega-de-saudade,Gm7
284,chega-de-saudade,A7
285,chega-de-saudade,Dm
286,chega-de-saudade,Dm/C
287,chega-de-saudade,E7/B
288,chega-de-saudade,Eb/Bb
289,chega-de-saudade,A7
290,chega-de-saudade,Dm7
291,chega-de-saudade,Eb7(9)
292,chega-de-saudade,Dm
293,chega-de-saudade,Dm/C
294,chega-de-saudade,E7/B
295,chega-de-saudade,Bbm6
296,chega-de-saudade,A7(13-)
297,chega-de-saudade,Dm7
298,chega-de-saudade,Eb7(9)
299,chega-de-saudade,Dm7
300,chega-de-saudade,E7
301,chega-de-saudade,Am7
302,chega-de-saudade,Bb6
303,chega-de-saudade,A7
304,chega-de-saudade,A7(13-)
305,chega-de-saudade,Dm
306,chega-de-saudade,Dm/C
307,chega-de-saudade,E7/B
308,chega-de-saudade,Bbm6
309,chega-de-saudade,A7(13-)
310,chega-de-saudade,D7M
311,chega-de-saudade,D7(b9)
312,chega-de-saudade,Gm7
313,chega-de-saudade,A7(13-)
314,chega-de-saudade,Dm
315,chega-de-saudade,Am/C
316,chega-de-saudade,E7/B
317,chega-de-saudade,A7(13-)
318,chega-de-saudade,Bbm6
319,chega-de-saudade,Dm7
320,chega-de-saudade,Em7
321,chega-de-saudade,A7(13)
322,chega-de-saudade,D7M(9)
323,chega-de-saudade,B7
324,chega-de-saudade,E7(9)
325,chega-de-saudade,G/A
326,chega-de-saudade,A7(9)
327,chega-de-saudade,Dº
328,chega-de-saudade,D6
329,chega-de-saudade,D7M
330,chega-de-saudade,Dº
331,chega-de-saudade,Em7
332,chega-de-saudade,E7(9)
333,chega-de-saudade,Gm6
334,chega-de-saudade,A7(9-)
335,chega-de-saudade,D7M(9)
336,chega-de-saudade,Bm7
337,chega-de-saudade,E7(9)
338,chega-de-saudade,F#m7
339,chega-de-saudade,Bm7
340,chega-de-saudade,Bbm7
341,chega-de-saudade,Am7
342,chega-de-saudade,D7(9-)
343,chega-de-saudade,G7M
344,chega-de-saudade,Gm7
345,chega-de-saudade,F#m7
346,chega-de-saudade,B7(13)
347,chega-de-saudade,E7(9)
348,chega-de-saudade,A7
349,chega-de-saudade,F#13
350,chega-de-saudade,B7
351,chega-de-saudade,E7(9)
352,chega-de-saudade,A7(13)
353,chega-de-saudade,D
354,chega-de-saudade,Dm
355,chega-de-saudade,Dm/C
356,chega-de-saudade,E7/B
357,chega-de-saudade,Bbm6
358,chega-de-saudade,A7(13-)
359,chega-de-saudade,Dm7
360,chega-de-saudade,Eb7(9)
361,chega-de-saudade,Dm7
362,chega-de-saudade,E7
363,chega-de-saudade,Am7
364,chega-de-saudade,Bb6
365,chega-de-saudade,A7
366,chega-de-saudade,A7(13-)
