,Musicas,Acordes
0,petrolina-juazeiro,Dm
1,petrolina-juazeiro,Am
2,petrolina-juazeiro,E7
3,petrolina-juazeiro,Am
4,petrolina-juazeiro,A7
5,petrolina-juazeiro,Dm
6,petrolina-juazeiro,Am
7,petrolina-juazeiro,E7
8,petrolina-juazeiro,Am
9,petrolina-juazeiro,G
10,petrolina-juazeiro,F
11,petrolina-juazeiro,E7
12,petrolina-juazeiro,Am
13,petrolina-juazeiro,Am
14,petrolina-juazeiro,E7
15,petrolina-juazeiro,Am
16,petrolina-juazeiro,E7
17,petrolina-juazeiro,A7
18,petrolina-juazeiro,Dm
19,petrolina-juazeiro,Am
20,petrolina-juazeiro,E7
21,petrolina-juazeiro,Am
22,petrolina-juazeiro,Dm
23,petrolina-juazeiro,Am
24,petrolina-juazeiro,E7
25,petrolina-juazeiro,Am
26,petrolina-juazeiro,E7
27,petrolina-juazeiro,Am
28,petrolina-juazeiro,E7
29,petrolina-juazeiro,A7
30,petrolina-juazeiro,Dm
31,petrolina-juazeiro,Am
32,petrolina-juazeiro,E7
33,petrolina-juazeiro,Am
34,petrolina-juazeiro,Dm
35,petrolina-juazeiro,Am
36,petrolina-juazeiro,E7
37,petrolina-juazeiro,Am
38,petrolina-juazeiro,Dm
39,petrolina-juazeiro,Am
40,petrolina-juazeiro,E7
41,petrolina-juazeiro,Am
42,petrolina-juazeiro,Dm
43,petrolina-juazeiro,Am
44,petrolina-juazeiro,E7
45,petrolina-juazeiro,A7
46,petrolina-juazeiro,Dm
47,petrolina-juazeiro,Am
48,petrolina-juazeiro,E7
49,petrolina-juazeiro,Am
50,petrolina-juazeiro,Dm
51,petrolina-juazeiro,Am
52,petrolina-juazeiro,E7
53,petrolina-juazeiro,Am
54,petrolina-juazeiro,E7
55,petrolina-juazeiro,Am
56,petrolina-juazeiro,E7
57,petrolina-juazeiro,Am
58,petrolina-juazeiro,E7
59,petrolina-juazeiro,Dm
60,petrolina-juazeiro,Am
61,petrolina-juazeiro,E7
62,petrolina-juazeiro,Am
63,petrolina-juazeiro,A7
64,petrolina-juazeiro,Dm
65,petrolina-juazeiro,Am
66,petrolina-juazeiro,E7
67,petrolina-juazeiro,Am
68,petrolina-juazeiro,G
69,petrolina-juazeiro,F
70,petrolina-juazeiro,E7
71,petrolina-juazeiro,Am
72,petrolina-juazeiro,Am
73,petrolina-juazeiro,E7
74,petrolina-juazeiro,Am
75,petrolina-juazeiro,E7
76,petrolina-juazeiro,A7
77,petrolina-juazeiro,Dm
78,petrolina-juazeiro,Am
79,petrolina-juazeiro,E7
80,petrolina-juazeiro,Am
81,petrolina-juazeiro,Dm
82,petrolina-juazeiro,Am
83,petrolina-juazeiro,E7
84,petrolina-juazeiro,Am
85,petrolina-juazeiro,E7
86,petrolina-juazeiro,Am
87,petrolina-juazeiro,E7
88,petrolina-juazeiro,A7
89,petrolina-juazeiro,Dm
90,petrolina-juazeiro,Am
91,petrolina-juazeiro,E7
92,petrolina-juazeiro,Am
93,petrolina-juazeiro,Dm
94,petrolina-juazeiro,Am
95,petrolina-juazeiro,E7
96,petrolina-juazeiro,Am
97,petrolina-juazeiro,Dm
98,petrolina-juazeiro,Am
99,petrolina-juazeiro,E7
100,petrolina-juazeiro,Am
101,petrolina-juazeiro,Dm
102,petrolina-juazeiro,Am
103,petrolina-juazeiro,E7
104,petrolina-juazeiro,A7
105,petrolina-juazeiro,Dm
106,petrolina-juazeiro,Am
107,petrolina-juazeiro,E7
108,petrolina-juazeiro,Am
109,petrolina-juazeiro,Dm
110,petrolina-juazeiro,Am
111,petrolina-juazeiro,E7
112,petrolina-juazeiro,Am
113,petrolina-juazeiro,E7
114,petrolina-juazeiro,Am
115,petrolina-juazeiro,E7
116,petrolina-juazeiro,Am
117,petrolina-juazeiro,E7
118,petrolina-juazeiro,Am
119,petrolina-juazeiro,E7
120,petrolina-juazeiro,Am
121,petrolina-juazeiro,E7
122,petrolina-juazeiro,Am
153,nenem-mulher,D
154,nenem-mulher,A
155,nenem-mulher,D
156,nenem-mulher,Am
157,nenem-mulher,D7
158,nenem-mulher,G
159,nenem-mulher,C7
160,nenem-mulher,D
161,nenem-mulher,A
162,nenem-mulher,D
163,nenem-mulher,D
164,nenem-mulher,A
165,nenem-mulher,D
166,nenem-mulher,Am
167,nenem-mulher,D7
168,nenem-mulher,G
169,nenem-mulher,C7
170,nenem-mulher,D
171,nenem-mulher,A
172,nenem-mulher,D
173,nenem-mulher,D
174,nenem-mulher,B7
175,nenem-mulher,Em
176,nenem-mulher,A7
177,nenem-mulher,D
178,nenem-mulher,Fº
179,nenem-mulher,D
180,nenem-mulher,Am
181,nenem-mulher,D7
182,nenem-mulher,G
183,nenem-mulher,G
184,nenem-mulher,A
185,nenem-mulher,D/F#
186,nenem-mulher,Bm
187,nenem-mulher,Em
188,nenem-mulher,A
189,nenem-mulher,D
190,nenem-mulher,D7
191,nenem-mulher,F#
192,nenem-mulher,Bm
193,nenem-mulher,Am
194,nenem-mulher,D7
195,nenem-mulher,G
196,nenem-mulher,D
197,nenem-mulher,E
198,nenem-mulher,A
199,nenem-mulher,F#
200,nenem-mulher,Bm
201,nenem-mulher,Am
202,nenem-mulher,D7
203,nenem-mulher,G7
204,nenem-mulher,G
205,nenem-mulher,A
206,nenem-mulher,D/F#
207,nenem-mulher,Bm
208,nenem-mulher,Em
209,nenem-mulher,A
210,nenem-mulher,D
306,procurando-tu,Am
307,procurando-tu,D7
308,procurando-tu,G7
309,procurando-tu,C7
310,procurando-tu,F6
311,procurando-tu,E7
312,procurando-tu,Am
313,procurando-tu,E7
314,procurando-tu,Am
315,procurando-tu,E
316,procurando-tu,Am
317,procurando-tu,E7
318,procurando-tu,Am
319,procurando-tu,A7
320,procurando-tu,Dm
321,procurando-tu,Am
322,procurando-tu,E7
323,procurando-tu,Am
324,procurando-tu,A7
325,procurando-tu,Dm
326,procurando-tu,Am
327,procurando-tu,E7
328,procurando-tu,Am
329,procurando-tu,G7
330,procurando-tu,C
331,procurando-tu,G7
332,procurando-tu,C
333,procurando-tu,G7
334,procurando-tu,C
335,procurando-tu,G7
336,procurando-tu,C
337,procurando-tu,C7
338,procurando-tu,F
339,procurando-tu,C
340,procurando-tu,G7
341,procurando-tu,C
342,procurando-tu,C7
343,procurando-tu,F
344,procurando-tu,C
345,procurando-tu,G
346,procurando-tu,C
347,procurando-tu,E
348,procurando-tu,Am
349,procurando-tu,E7
350,procurando-tu,Am
351,procurando-tu,A7
352,procurando-tu,Dm
353,procurando-tu,Am
354,procurando-tu,E7
355,procurando-tu,Am
356,procurando-tu,A7
357,procurando-tu,Dm
358,procurando-tu,Am
359,procurando-tu,E7
360,procurando-tu,Am
361,procurando-tu,Am
362,procurando-tu,G7
363,procurando-tu,C
364,procurando-tu,G
365,procurando-tu,C
366,procurando-tu,G
367,procurando-tu,C
368,procurando-tu,G
369,procurando-tu,C
370,procurando-tu,C7
371,procurando-tu,F
372,procurando-tu,C
373,procurando-tu,G
374,procurando-tu,C
375,procurando-tu,C7
376,procurando-tu,F
377,procurando-tu,C
378,procurando-tu,G
379,procurando-tu,C
380,procurando-tu,E7
381,procurando-tu,Am
382,procurando-tu,E7
383,procurando-tu,Am
384,procurando-tu,A7
385,procurando-tu,Dm
386,procurando-tu,Am
387,procurando-tu,E7
388,procurando-tu,Am
389,procurando-tu,A7
390,procurando-tu,Dm
391,procurando-tu,Am
392,procurando-tu,E7
393,procurando-tu,Am
394,procurando-tu,Am
395,procurando-tu,D7
396,procurando-tu,G7
397,procurando-tu,C7
398,procurando-tu,F6
399,procurando-tu,E7
400,procurando-tu,Am
401,procurando-tu,E7
402,procurando-tu,Am
403,procurando-tu,E7
459,o-nenem,E
460,o-nenem,C#m
461,o-nenem,G#m
462,o-nenem,A
463,o-nenem,B7
464,o-nenem,E
465,o-nenem,B7
466,o-nenem,E
467,o-nenem,E
468,o-nenem,A
469,o-nenem,G#m
470,o-nenem,F#m
471,o-nenem,B7
472,o-nenem,E
473,o-nenem,E7
474,o-nenem,A
475,o-nenem,G#7
476,o-nenem,C#m
477,o-nenem,B
478,o-nenem,B7/A
479,o-nenem,E
480,o-nenem,E7
481,o-nenem,A
482,o-nenem,Bbº
483,o-nenem,E
484,o-nenem,C#m
485,o-nenem,F#m
486,o-nenem,B7
487,o-nenem,E
488,o-nenem,C#m
489,o-nenem,G#m
490,o-nenem,A
491,o-nenem,B7
492,o-nenem,E
493,o-nenem,E
494,o-nenem,A
495,o-nenem,G#m
496,o-nenem,F#m
497,o-nenem,B7
498,o-nenem,E
499,o-nenem,E7
500,o-nenem,A
501,o-nenem,G#7
502,o-nenem,C#m
503,o-nenem,B
504,o-nenem,B7/A
505,o-nenem,E
506,o-nenem,E7
507,o-nenem,A
508,o-nenem,Bbº
509,o-nenem,E
510,o-nenem,C#m
511,o-nenem,F#m
512,o-nenem,B7
513,o-nenem,E
514,o-nenem,C#m
