,Musicas,Palavras
0,petrolina-juazeiro,E
1,petrolina-juazeiro,a
2,petrolina-juazeiro,natureza
3,petrolina-juazeiro,ela
4,petrolina-juazeiro,conservou
5,petrolina-juazeiro,Jesus
6,petrolina-juazeiro,abençoou
7,petrolina-juazeiro,com
8,petrolina-juazeiro,sua
9,petrolina-juazeiro,mão
10,petrolina-juazeiro,divina
11,petrolina-juazeiro,Pra
12,petrolina-juazeiro,não
13,petrolina-juazeiro,morrer
14,petrolina-juazeiro,de
15,petrolina-juazeiro,"saudade,"
16,petrolina-juazeiro,vou
17,petrolina-juazeiro,voltar
18,petrolina-juazeiro,pra
19,petrolina-juazeiro,Petrolina
20,petrolina-juazeiro,Jesus
21,petrolina-juazeiro,abençoou
22,petrolina-juazeiro,com
23,petrolina-juazeiro,sua
24,petrolina-juazeiro,mão
25,petrolina-juazeiro,divina
26,petrolina-juazeiro,Pra
27,petrolina-juazeiro,não
28,petrolina-juazeiro,morrer
29,petrolina-juazeiro,de
30,petrolina-juazeiro,"saudade,"
31,petrolina-juazeiro,vou
32,petrolina-juazeiro,voltar
33,petrolina-juazeiro,pra
34,petrolina-juazeiro,Petrolina
35,petrolina-juazeiro,Que
36,petrolina-juazeiro,na
37,petrolina-juazeiro,minha
38,petrolina-juazeiro,"mocidade,"
39,petrolina-juazeiro,eu
40,petrolina-juazeiro,visitava
41,petrolina-juazeiro,todo
42,petrolina-juazeiro,dia
43,petrolina-juazeiro,Atravessava
44,petrolina-juazeiro,a
45,petrolina-juazeiro,"ponte,"
46,petrolina-juazeiro,ai
47,petrolina-juazeiro,que
48,petrolina-juazeiro,alegria
49,petrolina-juazeiro,Chegava
50,petrolina-juazeiro,em
51,petrolina-juazeiro,"Juazeiro,"
52,petrolina-juazeiro,Juazeiro
53,petrolina-juazeiro,da
54,petrolina-juazeiro,Bahia
55,petrolina-juazeiro,Atravessava
56,petrolina-juazeiro,a
57,petrolina-juazeiro,"ponte,"
58,petrolina-juazeiro,ai
59,petrolina-juazeiro,que
60,petrolina-juazeiro,alegria
61,petrolina-juazeiro,Chegava
62,petrolina-juazeiro,em
63,petrolina-juazeiro,"Juazeiro,"
64,petrolina-juazeiro,Juazeiro
65,petrolina-juazeiro,da
66,petrolina-juazeiro,Bahia
67,petrolina-juazeiro,Esquesito
68,petrolina-juazeiro,era
69,petrolina-juazeiro,a
70,petrolina-juazeiro,carranca
71,petrolina-juazeiro,e
72,petrolina-juazeiro,o
73,petrolina-juazeiro,apito
74,petrolina-juazeiro,do
75,petrolina-juazeiro,trem
76,petrolina-juazeiro,Mas
77,petrolina-juazeiro,achava
78,petrolina-juazeiro,lindo
79,petrolina-juazeiro,quando
80,petrolina-juazeiro,a
81,petrolina-juazeiro,ponte
82,petrolina-juazeiro,levantava
83,petrolina-juazeiro,E
84,petrolina-juazeiro,o
85,petrolina-juazeiro,barco
86,petrolina-juazeiro,passava
87,petrolina-juazeiro,num
88,petrolina-juazeiro,gostoso
89,petrolina-juazeiro,vai
90,petrolina-juazeiro,e
91,petrolina-juazeiro,vem
92,petrolina-juazeiro,"Petrolina,"
93,petrolina-juazeiro,"Juazeiro,"
94,petrolina-juazeiro,"Juazeiro,"
95,petrolina-juazeiro,Petrolina
96,petrolina-juazeiro,Todas
97,petrolina-juazeiro,duas
98,petrolina-juazeiro,eu
99,petrolina-juazeiro,acho
100,petrolina-juazeiro,uma
101,petrolina-juazeiro,coisa
102,petrolina-juazeiro,linda
103,petrolina-juazeiro,Eu
104,petrolina-juazeiro,gosto
105,petrolina-juazeiro,de
106,petrolina-juazeiro,Juazeiro
107,petrolina-juazeiro,e
108,petrolina-juazeiro,adoro
109,petrolina-juazeiro,Petrolina
110,petrolina-juazeiro,Eu
111,petrolina-juazeiro,gosto
112,petrolina-juazeiro,de
113,petrolina-juazeiro,Juazeiro
114,petrolina-juazeiro,e
115,petrolina-juazeiro,adoro
116,petrolina-juazeiro,Petrolina
117,petrolina-juazeiro,Eu
118,petrolina-juazeiro,gosto
119,petrolina-juazeiro,de
