,Musicas,Acordes
0,borboletas,Bm
1,borboletas,A
2,borboletas,A
3,borboletas,Bm
4,borboletas,G
5,borboletas,A
6,borboletas,G
7,borboletas,A
8,borboletas,Bm
9,borboletas,Bm
10,borboletas,D
11,borboletas,A
12,borboletas,Bm
13,borboletas,D
14,borboletas,A
15,borboletas,Bm
16,borboletas,Em
17,borboletas,G
18,borboletas,D
19,borboletas,A
20,borboletas,Em
21,borboletas,G
22,borboletas,A
23,borboletas,Bm
24,borboletas,G
25,borboletas,D
26,borboletas,A
27,borboletas,Bm
28,borboletas,G
29,borboletas,D
30,borboletas,A
31,borboletas,Bm
32,borboletas,G
33,borboletas,D
34,borboletas,A
35,borboletas,Bm
36,borboletas,G
37,borboletas,D
38,borboletas,A
39,borboletas,Bm
40,borboletas,Bm
41,borboletas,D
42,borboletas,A
43,borboletas,F#
44,borboletas,G
45,borboletas,A
46,borboletas,Bm
47,borboletas,G
48,borboletas,A
49,borboletas,Bm
50,borboletas,Bm
51,borboletas,D
52,borboletas,A
53,borboletas,Bm
54,borboletas,D
55,borboletas,A
56,borboletas,Bm
57,borboletas,Em
58,borboletas,G
59,borboletas,D
60,borboletas,A
61,borboletas,Em
62,borboletas,G
63,borboletas,A
64,borboletas,Bm
65,borboletas,G
66,borboletas,D
67,borboletas,A
68,borboletas,Bm
69,borboletas,G
70,borboletas,D
71,borboletas,A
72,borboletas,Bm
73,borboletas,G
74,borboletas,D
75,borboletas,A
76,borboletas,Bm
77,borboletas,G
78,borboletas,D
79,borboletas,A
80,borboletas,Bm
81,borboletas,G
82,borboletas,D
83,borboletas,A/C#
84,borboletas,Bm
85,borboletas,A
86,borboletas,Bm
87,borboletas,G
88,borboletas,D
89,borboletas,A
90,borboletas,Bm
91,borboletas,G
92,borboletas,D
93,borboletas,A
94,borboletas,Bm
95,borboletas,G
96,borboletas,D
97,borboletas,A
98,borboletas,Bm
164,deus-eu-no-sertao,C9
165,deus-eu-no-sertao,Am
166,deus-eu-no-sertao,A5(9)
167,deus-eu-no-sertao,C9
168,deus-eu-no-sertao,Am
169,deus-eu-no-sertao,A5(9)
170,deus-eu-no-sertao,C
171,deus-eu-no-sertao,Am
172,deus-eu-no-sertao,A5(9)
173,deus-eu-no-sertao,C
174,deus-eu-no-sertao,Am
175,deus-eu-no-sertao,A5(9)
176,deus-eu-no-sertao,F
177,deus-eu-no-sertao,G
178,deus-eu-no-sertao,C
179,deus-eu-no-sertao,G
180,deus-eu-no-sertao,C
181,deus-eu-no-sertao,Am
182,deus-eu-no-sertao,A5(9)
183,deus-eu-no-sertao,C
184,deus-eu-no-sertao,Am
185,deus-eu-no-sertao,A5(9)
186,deus-eu-no-sertao,F
187,deus-eu-no-sertao,G
188,deus-eu-no-sertao,C
189,deus-eu-no-sertao,Dm
190,deus-eu-no-sertao,G
191,deus-eu-no-sertao,C
192,deus-eu-no-sertao,Am
193,deus-eu-no-sertao,Dm
194,deus-eu-no-sertao,G
195,deus-eu-no-sertao,F
196,deus-eu-no-sertao,C
197,deus-eu-no-sertao,Am
198,deus-eu-no-sertao,A5(9)
199,deus-eu-no-sertao,C
200,deus-eu-no-sertao,Am
201,deus-eu-no-sertao,A5(9)
202,deus-eu-no-sertao,F
203,deus-eu-no-sertao,G
204,deus-eu-no-sertao,C
205,deus-eu-no-sertao,G
206,deus-eu-no-sertao,C9
207,deus-eu-no-sertao,Am
208,deus-eu-no-sertao,A5(9)
209,deus-eu-no-sertao,C9
210,deus-eu-no-sertao,Am
211,deus-eu-no-sertao,A5(9)
212,deus-eu-no-sertao,F
213,deus-eu-no-sertao,G
214,deus-eu-no-sertao,C
215,deus-eu-no-sertao,G
216,deus-eu-no-sertao,C9
217,deus-eu-no-sertao,Am
