,Musicas,Palavras
0,borboletas,Você
1,borboletas,diz
2,borboletas,que
3,borboletas,não
4,borboletas,tem
5,borboletas,graça
6,borboletas,amar
7,borboletas,assim
8,borboletas,Foi
9,borboletas,tudo
10,borboletas,tão
11,borboletas,"bonito,"
12,borboletas,mas
13,borboletas,voou
14,borboletas,pro
15,borboletas,infinito
16,borboletas,Parecido
17,borboletas,com
18,borboletas,borboletas
19,borboletas,de
20,borboletas,um
21,borboletas,jardim
22,borboletas,E
23,borboletas,balança
24,borboletas,o
25,borboletas,que
26,borboletas,eu
27,borboletas,sentia
28,borboletas,por
29,borboletas,outro
30,borboletas,alguém
31,borboletas,Dividido
32,borboletas,entre
33,borboletas,dois
34,borboletas,mundos
35,borboletas,Sei
36,borboletas,que
37,borboletas,estou
38,borboletas,"amando,"
39,borboletas,mas
40,borboletas,ainda
41,borboletas,não
42,borboletas,sei
43,borboletas,quem
44,borboletas,Mas
45,borboletas,nada
46,borboletas,está
47,borboletas,igual
48,borboletas,Numa
49,borboletas,noite
50,borboletas,estranha
51,borboletas,a
52,borboletas,gente
53,borboletas,se
54,borboletas,estranha
55,borboletas,e
56,borboletas,fica
57,borboletas,mal
58,borboletas,Você
59,borboletas,tenta
60,borboletas,provar
61,borboletas,que
62,borboletas,tudo
63,borboletas,em
64,borboletas,nós
65,borboletas,morreu
66,borboletas,Borboletas
67,borboletas,sempre
68,borboletas,voltam
69,borboletas,E
70,borboletas,o
71,borboletas,seu
72,borboletas,jardim
73,borboletas,sou
74,borboletas,eu
75,borboletas,Você
76,borboletas,diz
77,borboletas,que
78,borboletas,não
79,borboletas,tem
80,borboletas,graça
81,borboletas,amar
82,borboletas,assim
83,borboletas,Foi
84,borboletas,tudo
85,borboletas,tão
86,borboletas,"bonito,"
87,borboletas,mas
88,borboletas,voou
89,borboletas,pro
90,borboletas,infinito
91,borboletas,Parecido
92,borboletas,com
93,borboletas,borboletas
94,borboletas,de
95,borboletas,um
96,borboletas,jardim
97,borboletas,E
98,borboletas,balança
99,borboletas,o
100,borboletas,que
101,borboletas,eu
102,borboletas,sentia
103,borboletas,por
104,borboletas,outro
105,borboletas,alguém
106,borboletas,Dividido
107,borboletas,entre
108,borboletas,dois
109,borboletas,mundos
110,borboletas,Sei
111,borboletas,que
112,borboletas,estou
113,borboletas,"amando,"
114,borboletas,mas
115,borboletas,ainda
116,borboletas,não
