,Musicas,Acordes
0,onde-anda-voce,D7(9)
1,onde-anda-voce,G7(13)
2,onde-anda-voce,C7M
3,onde-anda-voce,Em7
4,onde-anda-voce,Ebº
5,onde-anda-voce,Dm7
6,onde-anda-voce,G7(13)
7,onde-anda-voce,C7M
8,onde-anda-voce,Fm/C
9,onde-anda-voce,C7M
10,onde-anda-voce,A7(13-)
11,onde-anda-voce,D7(9)
12,onde-anda-voce,G7(13)
13,onde-anda-voce,C7M
14,onde-anda-voce,Em7
15,onde-anda-voce,Ebº
16,onde-anda-voce,Dm7
17,onde-anda-voce,G7(13)
18,onde-anda-voce,C7M
19,onde-anda-voce,A7(13-)
20,onde-anda-voce,D7(9)
21,onde-anda-voce,G7(13)
22,onde-anda-voce,C7M
23,onde-anda-voce,Em7
24,onde-anda-voce,Ebº
25,onde-anda-voce,Dm7
26,onde-anda-voce,G7(13)
27,onde-anda-voce,Gm7
28,onde-anda-voce,C7(9-)
29,onde-anda-voce,F#m7(5-)
30,onde-anda-voce,Fm6
31,onde-anda-voce,Em7(11)
32,onde-anda-voce,A7(9-)
33,onde-anda-voce,D7(9)
34,onde-anda-voce,G7(13)
35,onde-anda-voce,G7(13)/F
36,onde-anda-voce,E7
37,onde-anda-voce,A7(9)
38,onde-anda-voce,C7
39,onde-anda-voce,F#m7(5-)
40,onde-anda-voce,Fm6
41,onde-anda-voce,Em7(11)
42,onde-anda-voce,A7(9-)
43,onde-anda-voce,D7(9)
44,onde-anda-voce,G7(13)
45,onde-anda-voce,C7M
46,onde-anda-voce,Fm/C
47,onde-anda-voce,C7M
48,onde-anda-voce,D7(9)
49,onde-anda-voce,G7(13)
50,onde-anda-voce,C7M
51,onde-anda-voce,Em7
52,onde-anda-voce,Ebº
53,onde-anda-voce,Dm7
54,onde-anda-voce,G7(13)
55,onde-anda-voce,C7M
56,onde-anda-voce,Fm/C
57,onde-anda-voce,C7M
58,onde-anda-voce,F#m7(5-)
59,onde-anda-voce,Fm6
60,onde-anda-voce,Em7(11)
61,onde-anda-voce,A7(9-)
62,onde-anda-voce,D7(9)
63,onde-anda-voce,G7(13)
64,onde-anda-voce,G7(13)/F
65,onde-anda-voce,E7
66,onde-anda-voce,A7(9)
67,onde-anda-voce,C7
68,onde-anda-voce,F#m7(5-)
69,onde-anda-voce,Fm6
70,onde-anda-voce,Em7(11)
71,onde-anda-voce,A7(9-)
72,onde-anda-voce,D7(9)
73,onde-anda-voce,G7(13)
74,onde-anda-voce,C7M
75,onde-anda-voce,Fm/C
76,onde-anda-voce,C7M
227,garota-de-ipanema,F7M
228,garota-de-ipanema,G7(13)
229,garota-de-ipanema,Gm7
230,garota-de-ipanema,C7(9-)
231,garota-de-ipanema,Am7(11)
232,garota-de-ipanema,Ab7(11+)
233,garota-de-ipanema,Gm7(11)
234,garota-de-ipanema,Gb7(11+)
235,garota-de-ipanema,F7M
236,garota-de-ipanema,G7(13)
237,garota-de-ipanema,Gm7
238,garota-de-ipanema,C7(9-)
239,garota-de-ipanema,F7M
240,garota-de-ipanema,F#7M
241,garota-de-ipanema,B7(9)
242,garota-de-ipanema,F#m7
243,garota-de-ipanema,D7(9)
244,garota-de-ipanema,Gm7
245,garota-de-ipanema,Eb7(9)
246,garota-de-ipanema,Am7
247,garota-de-ipanema,D7(9-)
248,garota-de-ipanema,Gm7
249,garota-de-ipanema,C7(9-)
250,garota-de-ipanema,F7M
251,garota-de-ipanema,G7(13)
252,garota-de-ipanema,Gm7
253,garota-de-ipanema,C7(9-)
254,garota-de-ipanema,F7M
255,garota-de-ipanema,C7(9-)
256,garota-de-ipanema,F7M
257,garota-de-ipanema,C7(9-)
258,garota-de-ipanema,F7M
454,chega-de-saudade,Dm7
455,chega-de-saudade,Dm/C
456,chega-de-saudade,E7/B
457,chega-de-saudade,Bbm6
458,chega-de-saudade,A7
459,chega-de-saudade,Dm7
460,chega-de-saudade,A7(5+)
461,chega-de-saudade,Dm7
462,chega-de-saudade,E7
463,chega-de-saudade,Am7
464,chega-de-saudade,Bb7+
465,chega-de-saudade,Em7(5-)
466,chega-de-saudade,A7(5+)
467,chega-de-saudade,Dm7
468,chega-de-saudade,Dm/C
469,chega-de-saudade,E7/B
470,chega-de-saudade,Bbm6
471,chega-de-saudade,A7
472,chega-de-saudade,Am6
473,chega-de-saudade,D7(9-)
474,chega-de-saudade,Gm7
475,chega-de-saudade,A7
476,chega-de-saudade,Dm7
477,chega-de-saudade,Dm/C
478,chega-de-saudade,E7/B
479,chega-de-saudade,Bbm6
480,chega-de-saudade,Dm7
481,chega-de-saudade,A7(5+)
482,chega-de-saudade,D7M
483,chega-de-saudade,B7(5+)
484,chega-de-saudade,E7(9)
485,chega-de-saudade,G/A
486,chega-de-saudade,A7(9-)
487,chega-de-saudade,D7M
488,chega-de-saudade,D/F#
489,chega-de-saudade,F°
490,chega-de-saudade,Em7
491,chega-de-saudade,Bm6
492,chega-de-saudade,Em7(5-)
493,chega-de-saudade,A7(5+)
494,chega-de-saudade,D7M
495,chega-de-saudade,Bm7
496,chega-de-saudade,E7(9)
497,chega-de-saudade,F#7
498,chega-de-saudade,Bm7
499,chega-de-saudade,Bbm7
500,chega-de-saudade,Am7
501,chega-de-saudade,D7(9)
502,chega-de-saudade,G7M
503,chega-de-saudade,Gm7
504,chega-de-saudade,F#m7
505,chega-de-saudade,B7(9-)
506,chega-de-saudade,E7(9)
507,chega-de-saudade,A7
508,chega-de-saudade,F#m7
