,Musicas,Palavras
0,onde-anda-voce,Onde
1,onde-anda-voce,anda
2,onde-anda-voce,você
3,onde-anda-voce,Onde
4,onde-anda-voce,andam
5,onde-anda-voce,os
6,onde-anda-voce,seus
7,onde-anda-voce,olhos
8,onde-anda-voce,Que
9,onde-anda-voce,a
10,onde-anda-voce,gente
11,onde-anda-voce,não
12,onde-anda-voce,vê
13,onde-anda-voce,Onde
14,onde-anda-voce,anda
15,onde-anda-voce,esse
16,onde-anda-voce,corpo
17,onde-anda-voce,Que
18,onde-anda-voce,me
19,onde-anda-voce,deixou
20,onde-anda-voce,morto
21,onde-anda-voce,De
22,onde-anda-voce,tanto
23,onde-anda-voce,prazer
24,onde-anda-voce,Onde
25,onde-anda-voce,anda
26,onde-anda-voce,a
27,onde-anda-voce,canção
28,onde-anda-voce,Que
29,onde-anda-voce,se
30,onde-anda-voce,ouvia
31,onde-anda-voce,na
32,onde-anda-voce,noite
33,onde-anda-voce,Dos
34,onde-anda-voce,bares
35,onde-anda-voce,de
36,onde-anda-voce,então
37,onde-anda-voce,Onde
38,onde-anda-voce,a
39,onde-anda-voce,gente
40,onde-anda-voce,ficava
41,onde-anda-voce,Onde
42,onde-anda-voce,a
43,onde-anda-voce,gente
44,onde-anda-voce,se
45,onde-anda-voce,amava
46,onde-anda-voce,Em
47,onde-anda-voce,total
48,onde-anda-voce,solidão
49,onde-anda-voce,Numa
50,onde-anda-voce,boemia
51,onde-anda-voce,sem
52,onde-anda-voce,razão
53,onde-anda-voce,de
54,onde-anda-voce,ser
55,onde-anda-voce,Na
56,onde-anda-voce,rotina
57,onde-anda-voce,dos
58,onde-anda-voce,bares
59,onde-anda-voce,Que
60,onde-anda-voce,apesar
61,onde-anda-voce,dos
62,onde-anda-voce,pesares
63,onde-anda-voce,Me
64,onde-anda-voce,trazem
65,onde-anda-voce,você
66,onde-anda-voce,Em
67,onde-anda-voce,razão
68,onde-anda-voce,de
69,onde-anda-voce,viver
70,onde-anda-voce,Você
71,onde-anda-voce,bem
72,onde-anda-voce,que
73,onde-anda-voce,podia
74,onde-anda-voce,me
75,onde-anda-voce,aparecer
76,onde-anda-voce,Nesses
77,onde-anda-voce,mesmos
78,onde-anda-voce,lugares
79,onde-anda-voce,Na
80,onde-anda-voce,"noite,"
81,onde-anda-voce,nos
82,onde-anda-voce,bares
83,onde-anda-voce,Onde
84,onde-anda-voce,anda
85,onde-anda-voce,você
86,onde-anda-voce,None
267,garota-de-ipanema,É
268,garota-de-ipanema,"ela,"
269,garota-de-ipanema,"menina,"
270,garota-de-ipanema,que
271,garota-de-ipanema,vem
272,garota-de-ipanema,e
273,garota-de-ipanema,que
274,garota-de-ipanema,passa
275,garota-de-ipanema,Seu
276,garota-de-ipanema,doce
277,garota-de-ipanema,"balanço,"
278,garota-de-ipanema,caminho
279,garota-de-ipanema,do
280,garota-de-ipanema,mar
281,garota-de-ipanema,O
282,garota-de-ipanema,seu
283,garota-de-ipanema,balançado
284,garota-de-ipanema,é
285,garota-de-ipanema,mais
286,garota-de-ipanema,que
287,garota-de-ipanema,um
288,garota-de-ipanema,poema
289,garota-de-ipanema,É
290,garota-de-ipanema,a
291,garota-de-ipanema,coisa
292,garota-de-ipanema,mais
293,garota-de-ipanema,linda
294,garota-de-ipanema,que
295,garota-de-ipanema,eu
296,garota-de-ipanema,já
297,garota-de-ipanema,vi
298,garota-de-ipanema,passar
299,garota-de-ipanema,"Ah,"
300,garota-de-ipanema,por
301,garota-de-ipanema,que
302,garota-de-ipanema,tudo
303,garota-de-ipanema,é
304,garota-de-ipanema,tão
305,garota-de-ipanema,triste?
