,Musicas,Acordes
0,chao-de-giz,G
1,chao-de-giz,D/F#
2,chao-de-giz,Em
3,chao-de-giz,C
4,chao-de-giz,D4
5,chao-de-giz,D
6,chao-de-giz,D4
7,chao-de-giz,D
8,chao-de-giz,G
9,chao-de-giz,D/F#
10,chao-de-giz,Em
11,chao-de-giz,C
12,chao-de-giz,D4
13,chao-de-giz,D
14,chao-de-giz,D4
15,chao-de-giz,D
16,chao-de-giz,G
17,chao-de-giz,D/F#
18,chao-de-giz,Em
19,chao-de-giz,C
20,chao-de-giz,D
21,chao-de-giz,G
22,chao-de-giz,Em
23,chao-de-giz,C
24,chao-de-giz,D
25,chao-de-giz,G
26,chao-de-giz,Em
27,chao-de-giz,Am
28,chao-de-giz,Bm
29,chao-de-giz,Am
30,chao-de-giz,D
31,chao-de-giz,Am
32,chao-de-giz,Bm
33,chao-de-giz,Am
34,chao-de-giz,D4
35,chao-de-giz,D
36,chao-de-giz,D5(9)
37,chao-de-giz,D
38,chao-de-giz,G
39,chao-de-giz,D/F#
40,chao-de-giz,Em
41,chao-de-giz,C
42,chao-de-giz,D
43,chao-de-giz,G
44,chao-de-giz,Em
45,chao-de-giz,C
46,chao-de-giz,D
47,chao-de-giz,G
48,chao-de-giz,Em
49,chao-de-giz,Am
50,chao-de-giz,Bm
51,chao-de-giz,Am
52,chao-de-giz,D
53,chao-de-giz,Am
54,chao-de-giz,Bm
55,chao-de-giz,Am
56,chao-de-giz,D4
57,chao-de-giz,D
58,chao-de-giz,D5(9)
59,chao-de-giz,D
60,chao-de-giz,G
61,chao-de-giz,D/F#
62,chao-de-giz,Em
63,chao-de-giz,C
64,chao-de-giz,D
65,chao-de-giz,G
66,chao-de-giz,Em
67,chao-de-giz,C
68,chao-de-giz,D
69,chao-de-giz,G
70,chao-de-giz,Em
71,chao-de-giz,Am
72,chao-de-giz,Bm
73,chao-de-giz,Am
74,chao-de-giz,D
75,chao-de-giz,Am
76,chao-de-giz,Bm
77,chao-de-giz,Am
78,chao-de-giz,D
79,chao-de-giz,Am
80,chao-de-giz,Bm
81,chao-de-giz,Am
82,chao-de-giz,D
83,chao-de-giz,Am
84,chao-de-giz,Bm
85,chao-de-giz,Am
86,chao-de-giz,D
87,chao-de-giz,Am
88,chao-de-giz,Bm
89,chao-de-giz,Am
90,chao-de-giz,Bm
91,chao-de-giz,Am
92,chao-de-giz,Bm
93,chao-de-giz,Am
94,chao-de-giz,D4
95,chao-de-giz,D
96,chao-de-giz,D5(9)
97,chao-de-giz,D
98,chao-de-giz,G
99,chao-de-giz,C
100,chao-de-giz,G
203,sinonimo,D
204,sinonimo,A/C#
205,sinonimo,Em
206,sinonimo,G
207,sinonimo,A7
208,sinonimo,D
209,sinonimo,A/C#
210,sinonimo,Em
211,sinonimo,G
212,sinonimo,A7
213,sinonimo,D
214,sinonimo,A/C#
215,sinonimo,Em
216,sinonimo,G
217,sinonimo,A7
218,sinonimo,D
219,sinonimo,A/C#
220,sinonimo,Em
221,sinonimo,G
222,sinonimo,A7
223,sinonimo,D
224,sinonimo,A/C#
225,sinonimo,Em
226,sinonimo,G
227,sinonimo,A7
228,sinonimo,D
229,sinonimo,A/C#
230,sinonimo,Em
231,sinonimo,G
232,sinonimo,A7
233,sinonimo,D
234,sinonimo,A/C#
235,sinonimo,Em
236,sinonimo,G
237,sinonimo,A7
238,sinonimo,D
239,sinonimo,A/C#
240,sinonimo,Em
241,sinonimo,G
242,sinonimo,A7
243,sinonimo,G
244,sinonimo,A7
245,sinonimo,G
246,sinonimo,A7
247,sinonimo,Em
248,sinonimo,D
249,sinonimo,A/C#
250,sinonimo,Em
251,sinonimo,G
252,sinonimo,A7
253,sinonimo,D
254,sinonimo,A/C#
255,sinonimo,Em
256,sinonimo,G
257,sinonimo,A7
258,sinonimo,D
259,sinonimo,A/C#
260,sinonimo,Em
261,sinonimo,G
262,sinonimo,A7
263,sinonimo,D
264,sinonimo,A/C#
265,sinonimo,Em
266,sinonimo,G
267,sinonimo,A7
268,sinonimo,D
269,sinonimo,A/C#
270,sinonimo,Em
271,sinonimo,G
272,sinonimo,A7
273,sinonimo,D
274,sinonimo,A/C#
275,sinonimo,Em
276,sinonimo,G
277,sinonimo,A7
278,sinonimo,D
279,sinonimo,A/C#
280,sinonimo,Em
281,sinonimo,G
282,sinonimo,A7
283,sinonimo,D
284,sinonimo,A/C#
285,sinonimo,Em
286,sinonimo,G
287,sinonimo,A7
288,sinonimo,G
289,sinonimo,A7
290,sinonimo,G
291,sinonimo,A7
292,sinonimo,Em
293,sinonimo,D
294,sinonimo,A/C#
295,sinonimo,Em
296,sinonimo,G
297,sinonimo,A7
298,sinonimo,D
299,sinonimo,A/C#
300,sinonimo,Em
301,sinonimo,G
302,sinonimo,A7
303,sinonimo,D
304,sinonimo,A/C#
305,sinonimo,Em
306,sinonimo,G
307,sinonimo,A7
308,sinonimo,D
309,sinonimo,A/C#
310,sinonimo,Em
311,sinonimo,G
312,sinonimo,A7
313,sinonimo,D
314,sinonimo,A/C#
315,sinonimo,Em
316,sinonimo,G
317,sinonimo,A7
318,sinonimo,D
319,sinonimo,A/C#
320,sinonimo,Em
321,sinonimo,G
322,sinonimo,A7
323,sinonimo,D
324,sinonimo,A/C#
325,sinonimo,Em
326,sinonimo,G
327,sinonimo,A7
328,sinonimo,D
329,sinonimo,A/C#
330,sinonimo,Em
331,sinonimo,G
332,sinonimo,A7
333,sinonimo,D
334,sinonimo,A/C#
335,sinonimo,Em
336,sinonimo,G
337,sinonimo,A7
338,sinonimo,D
339,sinonimo,A/C#
340,sinonimo,Em
341,sinonimo,G
342,sinonimo,A7
343,sinonimo,D
344,sinonimo,A/C#
345,sinonimo,Em
346,sinonimo,G
347,sinonimo,D
348,sinonimo,A/C#
349,sinonimo,Em
350,sinonimo,G
351,sinonimo,A7
352,sinonimo,D
353,sinonimo,A/C#
354,sinonimo,Em
355,sinonimo,G
356,sinonimo,A7
357,sinonimo,D
358,sinonimo,A/C#
359,sinonimo,Em
360,sinonimo,G
361,sinonimo,A7
362,sinonimo,D
363,sinonimo,A/C#
364,sinonimo,Em
365,sinonimo,G
366,sinonimo,A7
367,sinonimo,D
368,sinonimo,A/C#
369,sinonimo,Em
370,sinonimo,G
371,sinonimo,A7
372,sinonimo,D
373,sinonimo,A/C#
374,sinonimo,Em
375,sinonimo,G
376,sinonimo,A7
377,sinonimo,D
378,sinonimo,G
379,sinonimo,D
406,garoto-de-aluguel,F#m7(9)
407,garoto-de-aluguel,C#m7
408,garoto-de-aluguel,Bm7
409,garoto-de-aluguel,C#7
410,garoto-de-aluguel,F#m7(9)
411,garoto-de-aluguel,C#m7
412,garoto-de-aluguel,Bm7
413,garoto-de-aluguel,C#7
414,garoto-de-aluguel,F#m7(9)
415,garoto-de-aluguel,C#m7
416,garoto-de-aluguel,Bm7
417,garoto-de-aluguel,C#7
418,garoto-de-aluguel,F#m7(9)
419,garoto-de-aluguel,C#m7
420,garoto-de-aluguel,Bm7
421,garoto-de-aluguel,C#7
422,garoto-de-aluguel,F#m7(9)
423,garoto-de-aluguel,C#m7
424,garoto-de-aluguel,Bm7
425,garoto-de-aluguel,C#7
426,garoto-de-aluguel,F#m7(9)
427,garoto-de-aluguel,C#m7
428,garoto-de-aluguel,Bm7
429,garoto-de-aluguel,C#7
430,garoto-de-aluguel,F#m7(9)
431,garoto-de-aluguel,C#m7
432,garoto-de-aluguel,Bm7
433,garoto-de-aluguel,C#7
434,garoto-de-aluguel,F#m7(9)
435,garoto-de-aluguel,C#m7
436,garoto-de-aluguel,Bm7
437,garoto-de-aluguel,C#7
438,garoto-de-aluguel,F#m7(9)
439,garoto-de-aluguel,C#m7
440,garoto-de-aluguel,Bm7
441,garoto-de-aluguel,C#7
442,garoto-de-aluguel,F#m7(9)
443,garoto-de-aluguel,C#m7
444,garoto-de-aluguel,Bm7
445,garoto-de-aluguel,C#7
446,garoto-de-aluguel,F#m7(9)
447,garoto-de-aluguel,C#m7
448,garoto-de-aluguel,Bm7
449,garoto-de-aluguel,C#7
450,garoto-de-aluguel,F#m7(9)
451,garoto-de-aluguel,C#m7
452,garoto-de-aluguel,Bm7
453,garoto-de-aluguel,C#7
609,admiravel-gado-novo,D
610,admiravel-gado-novo,D5+/Bb
611,admiravel-gado-novo,Bm
612,admiravel-gado-novo,Bb11+
613,admiravel-gado-novo,D
614,admiravel-gado-novo,D5+/Bb
615,admiravel-gado-novo,Bm
616,admiravel-gado-novo,Bb11+
617,admiravel-gado-novo,D
618,admiravel-gado-novo,D5+/Bb
619,admiravel-gado-novo,Bm
620,admiravel-gado-novo,Bb11+
621,admiravel-gado-novo,D
622,admiravel-gado-novo,D5+/Bb
623,admiravel-gado-novo,Bm
624,admiravel-gado-novo,Bb11+
625,admiravel-gado-novo,D
626,admiravel-gado-novo,D5+/Bb
627,admiravel-gado-novo,Bm
628,admiravel-gado-novo,Bb11+
629,admiravel-gado-novo,D
630,admiravel-gado-novo,D5+/Bb
631,admiravel-gado-novo,Bm
632,admiravel-gado-novo,Bb11+
633,admiravel-gado-novo,D
634,admiravel-gado-novo,D5+/Bb
635,admiravel-gado-novo,Bm
636,admiravel-gado-novo,Bb11+
637,admiravel-gado-novo,D
638,admiravel-gado-novo,D5+/Bb
639,admiravel-gado-novo,Bm
640,admiravel-gado-novo,Bb11+
641,admiravel-gado-novo,D
642,admiravel-gado-novo,D5+/Bb
643,admiravel-gado-novo,Bm
644,admiravel-gado-novo,Bb11+
645,admiravel-gado-novo,Em
646,admiravel-gado-novo,F#
647,admiravel-gado-novo,Bm
648,admiravel-gado-novo,A4(6)
649,admiravel-gado-novo,Em
650,admiravel-gado-novo,F#
651,admiravel-gado-novo,Bm
652,admiravel-gado-novo,A4(6)
653,admiravel-gado-novo,Em
654,admiravel-gado-novo,F#
655,admiravel-gado-novo,Bm
656,admiravel-gado-novo,A4(6)
657,admiravel-gado-novo,Em
658,admiravel-gado-novo,F#
659,admiravel-gado-novo,Bm
660,admiravel-gado-novo,A
661,admiravel-gado-novo,D
662,admiravel-gado-novo,G
663,admiravel-gado-novo,D
664,admiravel-gado-novo,G
665,admiravel-gado-novo,D
666,admiravel-gado-novo,G
667,admiravel-gado-novo,D
668,admiravel-gado-novo,A
669,admiravel-gado-novo,D
670,admiravel-gado-novo,G
671,admiravel-gado-novo,D
672,admiravel-gado-novo,G
673,admiravel-gado-novo,D
674,admiravel-gado-novo,G
675,admiravel-gado-novo,D
676,admiravel-gado-novo,D5+/Bb
677,admiravel-gado-novo,Bm
678,admiravel-gado-novo,Bb11+
679,admiravel-gado-novo,D
680,admiravel-gado-novo,D5+/Bb
681,admiravel-gado-novo,Bm
682,admiravel-gado-novo,Bb11+
683,admiravel-gado-novo,D
684,admiravel-gado-novo,D5+/Bb
685,admiravel-gado-novo,Bm
686,admiravel-gado-novo,Bb11+
687,admiravel-gado-novo,D
