,Musicas,Palavras
0,chao-de-giz,Espalho
1,chao-de-giz,coisas
2,chao-de-giz,sobre
3,chao-de-giz,um
4,chao-de-giz,chão
5,chao-de-giz,de
6,chao-de-giz,giz
7,chao-de-giz,Há
8,chao-de-giz,meros
9,chao-de-giz,devaneios
10,chao-de-giz,tolos
11,chao-de-giz,a
12,chao-de-giz,me
13,chao-de-giz,torturar
14,chao-de-giz,Fotografias
15,chao-de-giz,recortadas
16,chao-de-giz,em
17,chao-de-giz,jornais
18,chao-de-giz,de
19,chao-de-giz,folhas
20,chao-de-giz,amiúde
21,chao-de-giz,Eu
22,chao-de-giz,vou
23,chao-de-giz,te
24,chao-de-giz,jogar
25,chao-de-giz,num
26,chao-de-giz,pano
27,chao-de-giz,de
28,chao-de-giz,guardar
29,chao-de-giz,confetes
30,chao-de-giz,É
31,chao-de-giz,"inútil,"
32,chao-de-giz,pois
33,chao-de-giz,existe
34,chao-de-giz,um
35,chao-de-giz,grão-vizir
36,chao-de-giz,Há
37,chao-de-giz,tantas
38,chao-de-giz,violetas
39,chao-de-giz,velhas
40,chao-de-giz,sem
41,chao-de-giz,um
42,chao-de-giz,colibri
43,chao-de-giz,Queria
44,chao-de-giz,"usar,"
45,chao-de-giz,quem
46,chao-de-giz,"sabe,"
47,chao-de-giz,uma
48,chao-de-giz,camisa
49,chao-de-giz,de
50,chao-de-giz,força
51,chao-de-giz,ou
52,chao-de-giz,de
53,chao-de-giz,Vênus
54,chao-de-giz,Nem
55,chao-de-giz,vou
56,chao-de-giz,lhe
57,chao-de-giz,beijar
58,chao-de-giz,gastando
59,chao-de-giz,assim
60,chao-de-giz,o
61,chao-de-giz,meu
62,chao-de-giz,batom
63,chao-de-giz,Na
64,chao-de-giz,lona
65,chao-de-giz,vou
66,chao-de-giz,a
67,chao-de-giz,nocaute
68,chao-de-giz,outra
69,chao-de-giz,vez
70,chao-de-giz,Pra
71,chao-de-giz,sempre
72,chao-de-giz,fui
73,chao-de-giz,acorrentado
74,chao-de-giz,no
75,chao-de-giz,seu
76,chao-de-giz,calcanhar
77,chao-de-giz,Meus
78,chao-de-giz,vinte
79,chao-de-giz,anos
80,chao-de-giz,de
81,chao-de-giz,"boy,"
82,chao-de-giz,that's
83,chao-de-giz,"over,"
84,chao-de-giz,baby
85,chao-de-giz,Freud
86,chao-de-giz,explica
87,chao-de-giz,Nem
88,chao-de-giz,vou
89,chao-de-giz,lhe
90,chao-de-giz,beijar
91,chao-de-giz,gastando
92,chao-de-giz,assim
93,chao-de-giz,o
94,chao-de-giz,meu
95,chao-de-giz,batom
96,chao-de-giz,Quanto
97,chao-de-giz,ao
98,chao-de-giz,pano
99,chao-de-giz,dos
100,chao-de-giz,"confetes,"
101,chao-de-giz,já
102,chao-de-giz,passou
103,chao-de-giz,meu
104,chao-de-giz,carnaval
105,chao-de-giz,E
106,chao-de-giz,isso
107,chao-de-giz,explica
108,chao-de-giz,porque
109,chao-de-giz,o
110,chao-de-giz,sexo
111,chao-de-giz,é
112,chao-de-giz,assunto
113,chao-de-giz,popular
114,chao-de-giz,No
115,chao-de-giz,"mais,"
116,chao-de-giz,estou
117,chao-de-giz,indo
118,chao-de-giz,embora
119,chao-de-giz,No
120,chao-de-giz,"mais,"
121,chao-de-giz,estou
122,chao-de-giz,indo
123,chao-de-giz,embora
124,chao-de-giz,No
125,chao-de-giz,mais
126,chao-de-giz,None
326,sinonimo,Que
327,sinonimo,o
328,sinonimo,sinônimo
329,sinonimo,de
330,sinonimo,amar
331,sinonimo,é
332,sinonimo,sofrer
333,sinonimo,No
334,sinonimo,aroma
335,sinonimo,de
336,sinonimo,amores
337,sinonimo,pode
338,sinonimo,haver
339,sinonimo,espinhos
340,sinonimo,É
341,sinonimo,como
