,Musicas,Acordes
0,deixa-vida-me-levar,A
1,deixa-vida-me-levar,B7
2,deixa-vida-me-levar,E
3,deixa-vida-me-levar,C#7
4,deixa-vida-me-levar,F#m
5,deixa-vida-me-levar,B7
6,deixa-vida-me-levar,E
7,deixa-vida-me-levar,B7
8,deixa-vida-me-levar,E
9,deixa-vida-me-levar,B7
10,deixa-vida-me-levar,E
11,deixa-vida-me-levar,C#7
12,deixa-vida-me-levar,F#m
13,deixa-vida-me-levar,B7
14,deixa-vida-me-levar,E
15,deixa-vida-me-levar,B7
16,deixa-vida-me-levar,E
17,deixa-vida-me-levar,B7
18,deixa-vida-me-levar,E
19,deixa-vida-me-levar,C#7
20,deixa-vida-me-levar,F#m
21,deixa-vida-me-levar,B7
22,deixa-vida-me-levar,E
23,deixa-vida-me-levar,B7
24,deixa-vida-me-levar,E
25,deixa-vida-me-levar,G°
26,deixa-vida-me-levar,F#m
27,deixa-vida-me-levar,B7
28,deixa-vida-me-levar,E
29,deixa-vida-me-levar,E7
30,deixa-vida-me-levar,A
31,deixa-vida-me-levar,A#º
32,deixa-vida-me-levar,E
33,deixa-vida-me-levar,C#7
34,deixa-vida-me-levar,F#m
35,deixa-vida-me-levar,B7
36,deixa-vida-me-levar,E
37,deixa-vida-me-levar,B7
38,deixa-vida-me-levar,E
39,deixa-vida-me-levar,B7
40,deixa-vida-me-levar,E
41,deixa-vida-me-levar,B7
42,deixa-vida-me-levar,E
43,deixa-vida-me-levar,G#m7
44,deixa-vida-me-levar,G#º
45,deixa-vida-me-levar,F#m7
46,deixa-vida-me-levar,B7
47,deixa-vida-me-levar,F#m
48,deixa-vida-me-levar,F#m7M
49,deixa-vida-me-levar,F#m7
50,deixa-vida-me-levar,F#m6
51,deixa-vida-me-levar,B7
52,deixa-vida-me-levar,B7(b13)
53,deixa-vida-me-levar,E
54,deixa-vida-me-levar,B7
55,deixa-vida-me-levar,E
56,deixa-vida-me-levar,B7
57,deixa-vida-me-levar,E
58,deixa-vida-me-levar,Bm7
