,Musicas,Palavras
0,deixa-vida-me-levar,Em
1,deixa-vida-me-levar,matéria
2,deixa-vida-me-levar,de
3,deixa-vida-me-levar,guarida
4,deixa-vida-me-levar,Espero
5,deixa-vida-me-levar,ainda
6,deixa-vida-me-levar,a
7,deixa-vida-me-levar,minha
8,deixa-vida-me-levar,vez
9,deixa-vida-me-levar,Confesso
10,deixa-vida-me-levar,que
11,deixa-vida-me-levar,sou
12,deixa-vida-me-levar,de
13,deixa-vida-me-levar,origem
14,deixa-vida-me-levar,pobre
15,deixa-vida-me-levar,Mas
16,deixa-vida-me-levar,meu
17,deixa-vida-me-levar,coração
18,deixa-vida-me-levar,é
19,deixa-vida-me-levar,nobre
20,deixa-vida-me-levar,Foi
21,deixa-vida-me-levar,assim
22,deixa-vida-me-levar,que
23,deixa-vida-me-levar,Deus
24,deixa-vida-me-levar,me
25,deixa-vida-me-levar,fez
26,deixa-vida-me-levar,Deixa
27,deixa-vida-me-levar,a
28,deixa-vida-me-levar,vida
29,deixa-vida-me-levar,me
30,deixa-vida-me-levar,levar
31,deixa-vida-me-levar,(vida
32,deixa-vida-me-levar,leva
33,deixa-vida-me-levar,eu!)
34,deixa-vida-me-levar,Deixa
35,deixa-vida-me-levar,a
36,deixa-vida-me-levar,vida
37,deixa-vida-me-levar,me
38,deixa-vida-me-levar,levar
39,deixa-vida-me-levar,(vida
40,deixa-vida-me-levar,leva
41,deixa-vida-me-levar,eu!)
42,deixa-vida-me-levar,Sou
43,deixa-vida-me-levar,feliz
44,deixa-vida-me-levar,e
45,deixa-vida-me-levar,agradeço
46,deixa-vida-me-levar,Por
47,deixa-vida-me-levar,tudo
48,deixa-vida-me-levar,que
49,deixa-vida-me-levar,Deus
50,deixa-vida-me-levar,me
51,deixa-vida-me-levar,deu
52,deixa-vida-me-levar,Agradecer
53,deixa-vida-me-levar,e
54,deixa-vida-me-levar,ser
55,deixa-vida-me-levar,fiel
56,deixa-vida-me-levar,Ao
57,deixa-vida-me-levar,destino
58,deixa-vida-me-levar,que
59,deixa-vida-me-levar,Deus
60,deixa-vida-me-levar,me
61,deixa-vida-me-levar,deu
62,deixa-vida-me-levar,Se
63,deixa-vida-me-levar,não
64,deixa-vida-me-levar,tenho
65,deixa-vida-me-levar,tudo
66,deixa-vida-me-levar,que
67,deixa-vida-me-levar,preciso
68,deixa-vida-me-levar,Com
69,deixa-vida-me-levar,o
70,deixa-vida-me-levar,que
71,deixa-vida-me-levar,"tenho,"
72,deixa-vida-me-levar,vivo
73,deixa-vida-me-levar,De
74,deixa-vida-me-levar,mansinho
75,deixa-vida-me-levar,lá
76,deixa-vida-me-levar,vou
77,deixa-vida-me-levar,eu
78,deixa-vida-me-levar,Também
79,deixa-vida-me-levar,não
80,deixa-vida-me-levar,me
81,deixa-vida-me-levar,desespero
82,deixa-vida-me-levar,O
83,deixa-vida-me-levar,negócio
84,deixa-vida-me-levar,é
85,deixa-vida-me-levar,deixar
86,deixa-vida-me-levar,rolar
87,deixa-vida-me-levar,E
88,deixa-vida-me-levar,aos
89,deixa-vida-me-levar,trancos
90,deixa-vida-me-levar,e
91,deixa-vida-me-levar,"barrancos,"
92,deixa-vida-me-levar,lá
93,deixa-vida-me-levar,vou
94,deixa-vida-me-levar,eu!
95,deixa-vida-me-levar,E
96,deixa-vida-me-levar,sou
97,deixa-vida-me-levar,feliz
98,deixa-vida-me-levar,e
99,deixa-vida-me-levar,agradeço
100,deixa-vida-me-levar,Por
101,deixa-vida-me-levar,tudo
102,deixa-vida-me-levar,que
103,deixa-vida-me-levar,Deus
104,deixa-vida-me-levar,me
105,deixa-vida-me-levar,deu
106,deixa-vida-me-levar,Deixa
107,deixa-vida-me-levar,a
108,deixa-vida-me-levar,vida
109,deixa-vida-me-levar,me
110,deixa-vida-me-levar,levar
111,deixa-vida-me-levar,(vida
112,deixa-vida-me-levar,leva
113,deixa-vida-me-levar,eu!)
114,deixa-vida-me-levar,Deixa
115,deixa-vida-me-levar,a
116,deixa-vida-me-levar,vida
117,deixa-vida-me-levar,me
118,deixa-vida-me-levar,levar
119,deixa-vida-me-levar,(vida
120,deixa-vida-me-levar,leva
121,deixa-vida-me-levar,eu!)
122,deixa-vida-me-levar,Sou
123,deixa-vida-me-levar,feliz
124,deixa-vida-me-levar,e
125,deixa-vida-me-levar,agradeço
126,deixa-vida-me-levar,Por
127,deixa-vida-me-levar,tudo
128,deixa-vida-me-levar,que
129,deixa-vida-me-levar,Deus
130,deixa-vida-me-levar,me
131,deixa-vida-me-levar,deu
132,deixa-vida-me-levar,Em
133,deixa-vida-me-levar,matéria
134,deixa-vida-me-levar,de
135,deixa-vida-me-levar,guarida
136,deixa-vida-me-levar,Espero
137,deixa-vida-me-levar,ainda
138,deixa-vida-me-levar,a
139,deixa-vida-me-levar,minha
140,deixa-vida-me-levar,vez
141,deixa-vida-me-levar,Confesso
142,deixa-vida-me-levar,que
143,deixa-vida-me-levar,sou
144,deixa-vida-me-levar,de
145,deixa-vida-me-levar,origem
146,deixa-vida-me-levar,pobre
147,deixa-vida-me-levar,Mas
148,deixa-vida-me-levar,meu
149,deixa-vida-me-levar,coração
150,deixa-vida-me-levar,é
151,deixa-vida-me-levar,nobre
152,deixa-vida-me-levar,Foi
153,deixa-vida-me-levar,assim
154,deixa-vida-me-levar,que
155,deixa-vida-me-levar,Deus
156,deixa-vida-me-levar,me
157,deixa-vida-me-levar,fez
158,deixa-vida-me-levar,Deixa
159,deixa-vida-me-levar,a
160,deixa-vida-me-levar,vida
161,deixa-vida-me-levar,me
162,deixa-vida-me-levar,levar
163,deixa-vida-me-levar,(vida
164,deixa-vida-me-levar,leva
165,deixa-vida-me-levar,eu!)
166,deixa-vida-me-levar,Deixa
167,deixa-vida-me-levar,a
168,deixa-vida-me-levar,vida
169,deixa-vida-me-levar,me
170,deixa-vida-me-levar,levar
171,deixa-vida-me-levar,(vida
172,deixa-vida-me-levar,leva
173,deixa-vida-me-levar,eu!)
174,deixa-vida-me-levar,Sou
175,deixa-vida-me-levar,feliz
176,deixa-vida-me-levar,e
177,deixa-vida-me-levar,agradeço
178,deixa-vida-me-levar,Por
179,deixa-vida-me-levar,tudo
180,deixa-vida-me-levar,que
181,deixa-vida-me-levar,Deus
182,deixa-vida-me-levar,me
183,deixa-vida-me-levar,deu
184,deixa-vida-me-levar,Agradecer
185,deixa-vida-me-levar,e
186,deixa-vida-me-levar,ser
187,deixa-vida-me-levar,fiel
188,deixa-vida-me-levar,Ao
189,deixa-vida-me-levar,destino
190,deixa-vida-me-levar,que
191,deixa-vida-me-levar,Deus
192,deixa-vida-me-levar,me
193,deixa-vida-me-levar,deu
194,deixa-vida-me-levar,Se
195,deixa-vida-me-levar,não
196,deixa-vida-me-levar,tenho
197,deixa-vida-me-levar,tudo
198,deixa-vida-me-levar,que
199,deixa-vida-me-levar,preciso
200,deixa-vida-me-levar,Com
201,deixa-vida-me-levar,o
202,deixa-vida-me-levar,que
203,deixa-vida-me-levar,"tenho,"
204,deixa-vida-me-levar,vivo
205,deixa-vida-me-levar,De
206,deixa-vida-me-levar,mansinho
207,deixa-vida-me-levar,lá
208,deixa-vida-me-levar,vou
209,deixa-vida-me-levar,eu
210,deixa-vida-me-levar,Também
211,deixa-vida-me-levar,não
212,deixa-vida-me-levar,me
213,deixa-vida-me-levar,desespero
214,deixa-vida-me-levar,O
215,deixa-vida-me-levar,negócio
216,deixa-vida-me-levar,é
217,deixa-vida-me-levar,deixar
218,deixa-vida-me-levar,rolar
219,deixa-vida-me-levar,E
220,deixa-vida-me-levar,aos
221,deixa-vida-me-levar,trancos
222,deixa-vida-me-levar,e
223,deixa-vida-me-levar,"barrancos,"
224,deixa-vida-me-levar,lá
225,deixa-vida-me-levar,vou
226,deixa-vida-me-levar,eu!
227,deixa-vida-me-levar,E
228,deixa-vida-me-levar,sou
229,deixa-vida-me-levar,feliz
230,deixa-vida-me-levar,e
231,deixa-vida-me-levar,agradeço
232,deixa-vida-me-levar,Por
233,deixa-vida-me-levar,tudo
234,deixa-vida-me-levar,que
235,deixa-vida-me-levar,Deus
236,deixa-vida-me-levar,me
237,deixa-vida-me-levar,deu
238,deixa-vida-me-levar,Deixa
239,deixa-vida-me-levar,a
240,deixa-vida-me-levar,vida
241,deixa-vida-me-levar,me
242,deixa-vida-me-levar,levar
243,deixa-vida-me-levar,(vida
244,deixa-vida-me-levar,leva
245,deixa-vida-me-levar,eu!)
246,deixa-vida-me-levar,Deixa
247,deixa-vida-me-levar,a
248,deixa-vida-me-levar,vida
249,deixa-vida-me-levar,me
250,deixa-vida-me-levar,levar
251,deixa-vida-me-levar,(vida
252,deixa-vida-me-levar,leva
253,deixa-vida-me-levar,eu!)
254,deixa-vida-me-levar,Sou
255,deixa-vida-me-levar,feliz
256,deixa-vida-me-levar,e
257,deixa-vida-me-levar,agradeço
258,deixa-vida-me-levar,Por
259,deixa-vida-me-levar,tudo
260,deixa-vida-me-levar,que
261,deixa-vida-me-levar,Deus
