,Musicas,Acordes
0,dois-coracoes-e-uma-historia,D
1,dois-coracoes-e-uma-historia,E
2,dois-coracoes-e-uma-historia,D
3,dois-coracoes-e-uma-historia,E
4,dois-coracoes-e-uma-historia,D
5,dois-coracoes-e-uma-historia,E
6,dois-coracoes-e-uma-historia,D
7,dois-coracoes-e-uma-historia,E
8,dois-coracoes-e-uma-historia,Bm
9,dois-coracoes-e-uma-historia,E
10,dois-coracoes-e-uma-historia,A
11,dois-coracoes-e-uma-historia,A7M
12,dois-coracoes-e-uma-historia,A6
13,dois-coracoes-e-uma-historia,F#m
14,dois-coracoes-e-uma-historia,Bm
15,dois-coracoes-e-uma-historia,E
16,dois-coracoes-e-uma-historia,A
17,dois-coracoes-e-uma-historia,A7M
18,dois-coracoes-e-uma-historia,A
19,dois-coracoes-e-uma-historia,Bm7
20,dois-coracoes-e-uma-historia,A/C#
21,dois-coracoes-e-uma-historia,Bm
22,dois-coracoes-e-uma-historia,E
23,dois-coracoes-e-uma-historia,A
24,dois-coracoes-e-uma-historia,A7M
25,dois-coracoes-e-uma-historia,A6
26,dois-coracoes-e-uma-historia,F#m
27,dois-coracoes-e-uma-historia,Bm
28,dois-coracoes-e-uma-historia,E
29,dois-coracoes-e-uma-historia,A
30,dois-coracoes-e-uma-historia,A7M
31,dois-coracoes-e-uma-historia,A
32,dois-coracoes-e-uma-historia,Bm7
33,dois-coracoes-e-uma-historia,A/C#
34,dois-coracoes-e-uma-historia,Bm
35,dois-coracoes-e-uma-historia,E
36,dois-coracoes-e-uma-historia,A
37,dois-coracoes-e-uma-historia,A7M
38,dois-coracoes-e-uma-historia,A6
39,dois-coracoes-e-uma-historia,F#m
40,dois-coracoes-e-uma-historia,Bm
41,dois-coracoes-e-uma-historia,E
42,dois-coracoes-e-uma-historia,D
43,dois-coracoes-e-uma-historia,D/E
44,dois-coracoes-e-uma-historia,A
45,dois-coracoes-e-uma-historia,D
46,dois-coracoes-e-uma-historia,E
47,dois-coracoes-e-uma-historia,A
48,dois-coracoes-e-uma-historia,F#
49,dois-coracoes-e-uma-historia,Bm
50,dois-coracoes-e-uma-historia,E
51,dois-coracoes-e-uma-historia,D
52,dois-coracoes-e-uma-historia,E
53,dois-coracoes-e-uma-historia,A
54,dois-coracoes-e-uma-historia,F
55,dois-coracoes-e-uma-historia,Bb
56,dois-coracoes-e-uma-historia,Cm
57,dois-coracoes-e-uma-historia,F
58,dois-coracoes-e-uma-historia,Bb
59,dois-coracoes-e-uma-historia,Bb7M
60,dois-coracoes-e-uma-historia,Bb6
61,dois-coracoes-e-uma-historia,Gm
62,dois-coracoes-e-uma-historia,Cm
63,dois-coracoes-e-uma-historia,F
64,dois-coracoes-e-uma-historia,Bb
65,dois-coracoes-e-uma-historia,Bb7M
66,dois-coracoes-e-uma-historia,Bb6
67,dois-coracoes-e-uma-historia,Bb/D
68,dois-coracoes-e-uma-historia,Cm
69,dois-coracoes-e-uma-historia,F
70,dois-coracoes-e-uma-historia,Bb
