,Musicas,Palavras
0,dois-coracoes-e-uma-historia,Um
1,dois-coracoes-e-uma-historia,fala
2,dois-coracoes-e-uma-historia,e
3,dois-coracoes-e-uma-historia,o
4,dois-coracoes-e-uma-historia,outro
5,dois-coracoes-e-uma-historia,"escuta,"
6,dois-coracoes-e-uma-historia,e
7,dois-coracoes-e-uma-historia,os
8,dois-coracoes-e-uma-historia,olhos
9,dois-coracoes-e-uma-historia,vão
10,dois-coracoes-e-uma-historia,chorando
11,dois-coracoes-e-uma-historia,A
12,dois-coracoes-e-uma-historia,lógica
13,dois-coracoes-e-uma-historia,de
14,dois-coracoes-e-uma-historia,tudo
15,dois-coracoes-e-uma-historia,é
16,dois-coracoes-e-uma-historia,o
17,dois-coracoes-e-uma-historia,desamor
18,dois-coracoes-e-uma-historia,que
19,dois-coracoes-e-uma-historia,chega
20,dois-coracoes-e-uma-historia,Depois
21,dois-coracoes-e-uma-historia,que
22,dois-coracoes-e-uma-historia,um
23,dois-coracoes-e-uma-historia,descobre
24,dois-coracoes-e-uma-historia,que
25,dois-coracoes-e-uma-historia,o
26,dois-coracoes-e-uma-historia,outro
27,dois-coracoes-e-uma-historia,não
28,dois-coracoes-e-uma-historia,se
29,dois-coracoes-e-uma-historia,entrega
30,dois-coracoes-e-uma-historia,Quem
31,dois-coracoes-e-uma-historia,vai
32,dois-coracoes-e-uma-historia,sair
33,dois-coracoes-e-uma-historia,arruma
34,dois-coracoes-e-uma-historia,as
35,dois-coracoes-e-uma-historia,coisas
36,dois-coracoes-e-uma-historia,põe
37,dois-coracoes-e-uma-historia,na
38,dois-coracoes-e-uma-historia,mala
39,dois-coracoes-e-uma-historia,Enquanto
40,dois-coracoes-e-uma-historia,o
41,dois-coracoes-e-uma-historia,outro
42,dois-coracoes-e-uma-historia,fuma
43,dois-coracoes-e-uma-historia,um
44,dois-coracoes-e-uma-historia,cigarro
45,dois-coracoes-e-uma-historia,na
46,dois-coracoes-e-uma-historia,sala
47,dois-coracoes-e-uma-historia,E
48,dois-coracoes-e-uma-historia,o
49,dois-coracoes-e-uma-historia,coração
50,dois-coracoes-e-uma-historia,palhaço
51,dois-coracoes-e-uma-historia,começa
52,dois-coracoes-e-uma-historia,a
53,dois-coracoes-e-uma-historia,bater
54,dois-coracoes-e-uma-historia,forte
55,dois-coracoes-e-uma-historia,Quem
56,dois-coracoes-e-uma-historia,fica
57,dois-coracoes-e-uma-historia,não
58,dois-coracoes-e-uma-historia,deseja
59,dois-coracoes-e-uma-historia,que
60,dois-coracoes-e-uma-historia,o
61,dois-coracoes-e-uma-historia,outro
